ds,DLinear
2024-02-01,0.011718333
2024-03-01,-0.16425264
2024-04-01,0.25681067
2024-05-01,0.13005713
2024-06-01,-0.09013
2024-07-01,0.48648447
2024-08-01,0.20597215
2024-09-01,-0.0064696074
2024-10-01,0.2535729
2024-11-01,0.5130613
2024-12-01,-0.04798001
2025-01-01,0.24980722
2025-02-01,0.37466586
2025-03-01,0.22822475
2025-04-01,0.39772332
2025-05-01,0.42655042
2025-06-01,0.7990718
2025-07-01,0.45846286
2025-08-01,0.25508016
2025-09-01,0.15473154
2025-10-01,0.2591282
2025-11-01,0.66308916
2025-12-01,0.19394857
