ds,LSTM
2024-02-01,0.70265806
2024-03-01,0.61002654
2024-04-01,0.2973094
2024-05-01,0.091350794
2024-06-01,0.4363097
2024-07-01,0.08931196
2024-08-01,0.030810475
2024-09-01,0.00062668324
2024-10-01,0.21526706
2024-11-01,0.22562349
2024-12-01,0.28901732
2025-01-01,0.24206138
2025-02-01,0.06796408
2025-03-01,0.19988132
2025-04-01,0.18196523
2025-05-01,0.32318807
2025-06-01,0.3086517
2025-07-01,0.2940445
2025-08-01,0.5829557
2025-09-01,0.541085
2025-10-01,0.6526317
2025-11-01,1.1852772
2025-12-01,1.3286695
