ds,NLinear
2024-02-01,0.13402249
2024-03-01,0.10966889
2024-04-01,-0.06538829
2024-05-01,-0.02798335
2024-06-01,0.07298595
2024-07-01,0.12751113
2024-08-01,0.05481992
2024-09-01,0.089303136
2024-10-01,0.20645861
2024-11-01,0.122967206
2024-12-01,0.18385807
2025-01-01,0.13646762
2025-02-01,-0.07095472
2025-03-01,-0.138135
2025-04-01,0.23161386
2025-05-01,0.22341773
2025-06-01,0.19315454
2025-07-01,0.125472
2025-08-01,0.23713778
2025-09-01,0.20215406
2025-10-01,0.28126612
2025-11-01,-0.036955137
2025-12-01,0.23688108
