ds,PatchTST
2024-02-01,-0.199951
2024-03-01,1.0991567
2024-04-01,0.4980262
2024-05-01,0.75164205
2024-06-01,0.3894919
2024-07-01,1.3574766
2024-08-01,0.8166042
2024-09-01,0.6104341
2024-10-01,0.42100364
2024-11-01,0.80643374
2024-12-01,-0.06633294
2025-01-01,0.046902895
2025-02-01,0.7175601
2025-03-01,0.42999098
2025-04-01,1.1678221
2025-05-01,0.03838396
2025-06-01,-0.029953599
2025-07-01,0.38132402
2025-08-01,0.32247013
2025-09-01,0.18419272
2025-10-01,0.84369
2025-11-01,0.12392604
2025-12-01,-0.28111708
